hex,lat,lon,count_good_aircraft,count_bad_aircraft,bad_frac
8468a21ffffffff,1.9136353512763684,113.43814979271855,10,0,-0.1
8468a23ffffffff,1.8781994587193929,113.83806786806004,3,0,-0.3333333333333333
8468a25ffffffff,1.570295102356329,113.19288293918268,1,0,-1.0
8468a27ffffffff,1.5356728086908407,113.59345657733067,1,0,-1.0
8468a2dffffffff,1.949137684409193,113.0364066779863,4,0,-0.25
848c825ffffffff,-0.2172333293066756,108.00995414841506,2,0,-0.5
848c82dffffffff,-0.5980643404121952,108.17863815539555,2,0,-0.5
848c903ffffffff,0.8337372051211214,108.75974009690464,4,0,-0.25
848c911ffffffff,0.5159313252409343,108.09093743093882,4,0,-0.25
848c915ffffffff,0.8669340163087282,108.34130003761484,20,0,-0.05
848c919ffffffff,0.13300928663172468,108.25980836836027,12,0,-0.08333333333333333
848c933ffffffff,1.638026991548039,108.00256770946916,25,0,-0.04
848c937ffffffff,1.9902586159202738,108.2538715336415,6,0,-0.16666666666666666
848c93bffffffff,1.2518396835650158,108.17224269446051,28,0,-0.03571428571428571
848c957ffffffff,0.10111952058166292,108.67756359282659,1,0,-1.0
848cb3dffffffff,-1.0960301096054252,110.00210809521859,1,0,-1.0
