date,suspect,num_bad_aircraft_hexes,source
2022-08-09,false,179,adsbexchange
2022-08-10,false,162,adsbexchange
2022-08-11,false,194,adsbexchange
2022-08-12,false,166,adsbexchange
2022-08-13,false,177,adsbexchange
2022-08-14,false,171,adsbexchange
2022-08-15,false,208,adsbexchange
2022-08-16,false,181,adsbexchange
2022-08-17,false,120,adsbexchange
2022-08-18,false,157,adsbexchange
2022-08-19,false,165,adsbexchange
2022-08-20,false,169,adsbexchange
2022-08-21,false,143,adsbexchange
2022-08-22,false,169,adsbexchange
2022-08-23,false,154,adsbexchange
2022-08-24,false,128,adsbexchange
2022-08-25,false,166,adsbexchange
2022-08-26,false,127,adsbexchange
2022-08-27,false,139,adsbexchange
2022-08-28,false,121,adsbexchange
2022-08-29,false,138,adsbexchange
2022-08-30,false,121,adsbexchange
2022-08-31,false,144,adsbexchange
2022-09-01,false,190,adsbexchange
2022-09-02,false,172,adsbexchange
2022-09-03,false,134,adsbexchange
2022-09-04,false,139,adsbexchange
2022-09-05,false,148,adsbexchange
2022-09-06,false,122,adsbexchange
2022-09-07,false,123,adsbexchange
2022-09-08,false,133,adsbexchange
2022-09-09,false,149,adsbexchange
2022-09-10,false,160,adsbexchange
2022-09-11,false,147,adsbexchange
2022-09-12,false,155,adsbexchange
2022-09-13,false,160,adsbexchange
2022-09-14,false,132,adsbexchange
2022-09-15,false,122,adsbexchange
2022-09-16,false,129,adsbexchange
2022-09-17,false,121,adsbexchange
2022-09-18,false,133,adsbexchange
2022-09-19,false,86,adsbexchange
2022-09-20,false,119,adsbexchange
2022-09-21,false,118,adsbexchange
2022-09-22,false,110,adsbexchange
2022-09-23,false,120,adsbexchange
2022-09-24,false,132,adsbexchange
2022-09-25,false,153,adsbexchange
2022-09-26,false,139,adsbexchange
2022-09-27,false,224,adsbexchange
2022-09-28,false,222,adsbexchange
2022-09-29,false,180,adsbexchange
2022-09-30,false,143,adsbexchange
2022-10-01,false,142,adsbexchange
2022-10-02,false,204,adsbexchange
2022-10-03,false,170,adsbexchange
2022-10-04,false,158,adsbexchange
2022-10-05,false,141,adsbexchange
2022-10-06,false,149,adsbexchange
2022-10-07,false,156,adsbexchange
2022-10-08,false,180,adsbexchange
2022-10-09,false,179,adsbexchange
2022-10-10,false,163,adsbexchange
2022-10-11,false,151,adsbexchange
2022-10-12,false,129,adsbexchange
2022-10-13,true,78,adsbexchange
2022-10-14,true,110,adsbexchange
2022-10-15,false,177,adsbexchange
2022-10-16,false,140,adsbexchange
2022-10-17,false,144,adsbexchange
2022-10-18,false,146,adsbexchange
2022-10-19,false,163,adsbexchange
2022-10-20,false,152,adsbexchange
2022-10-21,false,132,adsbexchange
2022-10-22,false,142,adsbexchange
2022-10-23,false,151,adsbexchange
2022-10-24,false,147,adsbexchange
2022-10-25,false,138,adsbexchange
2022-10-26,false,146,adsbexchange
2022-10-27,false,169,adsbexchange
2022-10-28,false,139,adsbexchange
2022-10-29,false,151,adsbexchange
2022-10-30,false,127,adsbexchange
2022-10-31,false,137,adsbexchange
2022-11-01,false,148,adsbexchange
2022-11-02,false,161,adsbexchange
2022-11-03,false,164,adsbexchange
2022-11-04,false,159,adsbexchange
2022-11-05,false,152,adsbexchange
2022-11-06,false,146,adsbexchange
2022-11-07,false,156,adsbexchange
2022-11-08,false,167,adsbexchange
2022-11-09,false,142,adsbexchange
2022-11-10,false,134,adsbexchange
2022-11-11,false,121,adsbexchange
2022-11-12,false,119,adsbexchange
2022-11-13,false,125,adsbexchange
2022-11-14,false,118,adsbexchange
2022-11-15,false,126,adsbexchange
2022-11-16,false,128,adsbexchange
2022-11-17,false,141,adsbexchange
2022-11-18,false,136,adsbexchange
2022-11-19,false,146,adsbexchange
2022-11-20,false,140,adsbexchange
2022-11-21,false,148,adsbexchange
2022-11-22,false,155,adsbexchange
2022-11-23,false,184,adsbexchange
2022-11-24,false,198,adsbexchange
2022-11-25,false,132,adsbexchange
2022-11-26,false,126,adsbexchange
2022-11-27,false,153,adsbexchange
2022-11-28,false,144,adsbexchange
2022-11-29,false,134,adsbexchange
2022-11-30,false,136,adsbexchange
2022-12-01,false,163,adsbexchange
2022-12-02,false,166,adsbexchange
2022-12-03,false,139,adsbexchange
2022-12-04,false,137,adsbexchange
2022-12-05,false,136,adsbexchange
2022-12-06,false,147,adsbexchange
2022-12-07,false,130,adsbexchange
2022-12-08,false,146,adsbexchange
2022-12-09,false,127,adsbexchange
2022-12-10,false,151,adsbexchange
2022-12-11,false,205,adsbexchange
2022-12-12,false,216,adsbexchange
2022-12-13,false,184,adsbexchange
2022-12-14,false,203,adsbexchange
2022-12-15,false,168,adsbexchange
2022-12-16,false,176,adsbexchange
2022-12-17,false,196,adsbexchange
2022-12-18,false,184,adsbexchange
2022-12-19,false,202,adsbexchange
2022-12-20,false,190,adsbexchange
2022-12-21,false,155,adsbexchange
2022-12-22,false,198,adsbexchange
2022-12-23,false,175,adsbexchange
