FID,ogc_fid,site_id,site_name,alamat,desa,kec,lat,long,jen_men,tinggi,jen_kons,metadata,srs_id,remark,namobj,fcode,objectid,geometry
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.15,15,MPW045,KOREK / KOREK EX KAMP JAWA T / SUKAMARA 2,"Jl. Trans Kalimantan Kampung Jawa Tengah Desa Korek Kec. Sei Ambawang, Kab.Kubu Raya Desa Korek",Korek,Sungai Ambawang,-0.052417,109.515861,Green Field,72,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.51586111111111 -0.0524166666666667)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.16,16,MPW026,SUNGAI_AMBAWANG,"Jl Lintas Kalimantan Kec. Sungai Ambawang, Kabupaten Kubu Raya",Sungai Ambawang,Sungai Ambawang,-0.038972,109.4135,Green Field,72,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.4135 -0.0389722222222222)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.17,17,MPW036,BATU_AMPAR,Jl.Perintis Rt.03 Rw.01 Desa Sungai Limau Kec.Batu Ampar Kab.Kubu Raya / Pontianak,Sungai Limau,Batu Ampar,-0.739778,109.533111,Green Field,92,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.53311111111111 -0.7397777777777778)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.18,18,MPW126,SAJINGAN BESAR / JERUJU BESAR (PTK067),Jl.Jeruju Besar Rt01 Kel.Jeruju Besar Kec.Sei kakap Kab. Kubu Raya,Jeruju Besar,Sungai Kakap,-0.008556,109.196111,Green Field,72,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.19611111111111 -0.0085555555555556)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.19,19,MPW060,DS JAWA TENGAH / SUNGAI AMBAWANG-CAP,Jl. Trans Kalimantan Rt.01 Rw.2 Desa jateng Kec. Sei Ambawang Kab. Kubu Raya,Jawa Tengah,Sungai Ambawang,-0.0375,109.467806,Green Field,72,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.46780555555556 -0.0375)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.20,20,PTK042,TELOK PEKADAI-31,"Teluk Pakedai Rt 03/01, kel selat remis Kec. Telok Pekadai  Kab. Pontianak",Selat Remis,Teluk Pakedai,-0.312583,109.15125,Green Field,72,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.15125 -0.3125833333333333)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.21,21,PTK043,KUALA MANDOR,"Rt02/ 04 Kel Kuala Mandor B, Kec Kuala Mandor, Kab Kubu Raya",Kuala Mandor B,Kuala Mandor B,-0.008639,109.44925,Green Field,72,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.44925 -0.0086388888888889)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.22,22,MPW067,SUNGAI SELAMAT,Dusun Karya Bakti Rt.04/II desa Sungai Selamat Kec. Kubu Kab. Kubu Raya Kalbar,Sungai Selamat,Kubu,-0.395056,109.211444,,72,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.21144444444445 -0.3950555555555556)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.23,23,MPW046,KALIMAS / PUNGGUR 2,"Jl. Raya Kalimas Dusun Mawar, Desa Sungai Kakap Kec. Sungai Kakap Kab. Kubu Raya",Kalimas,Sungai Kakap,-0.09325,109.227333,Green Field,62,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.22733333333333 -0.09325)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.24,24,MPW058,SEI BEMBAN / ROAD KOTABARU - BEMBAN,Jl. Hasanuddin rt.24 rw.08 Sei Bemban Kec. Sungai kakap Kab. Kubu Raya,Punggur Kecil,Sungai Kakap,-0.100056,109.286083,Green Field,72,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.28608333333334 -0.1000555555555556)
